date,risk,growth,inflation,rates,liquidity,dollar,oil
2010-08-31,40.88105584129021,121.2253411570024,104.08011037799069,0.47,8687.9,20.14986228942871,255.36000061035156
2010-09-30,44.8925980491886,127.50044231726068,104.90079846845767,0.42,8718.7,19.080551147460938,278.7200012207031
2010-10-31,46.5790279542166,127.11120461910718,107.50398387441601,0.34,8768.4,18.68791389465332,281.3599853515625
2010-11-30,45.9737130494581,130.85648492894526,106.64215724196112,0.45,8789.0,19.631912231445312,288.32000732421875
2010-12-31,51.31666516486949,134.7134041088715,108.89851756142531,0.61,8823.2,18.971946716308594,312.0
2011-01-31,51.87582384385683,142.09075238861692,108.94195206697721,0.58,8849.0,18.679555892944336,308.8800048828125
2011-02-28,53.59948188835817,141.00839289404212,109.95656549792395,0.69,8913.3,18.453998565673828,313.5199890136719
2011-03-31,53.220165292046595,142.37950783431305,111.43739564305551,0.8,8971.5,18.203378677368164,340.79998779296875
2011-04-30,54.775829879201815,138.8475420803485,112.02483547350042,0.61,9035.1,17.501644134521484,361.20001220703125
2011-05-31,52.393262339704066,131.70752558490088,109.57716872155851,0.45,9107.8,17.827449798583984,324.0
2011-06-30,51.73151713155094,134.57492851084433,110.96401468831264,0.45,9182.1,17.72719955444336,297.9200134277344
2011-07-31,48.99911116788282,126.94974949655747,111.74918967251593,0.36,9344.2,17.56847381591797,299.3599853515625
2011-08-31,43.37545721225634,118.37327641515267,107.46951579238596,0.2,9531.0,17.60188865661621,276.0799865722656
2011-09-30,37.99726441767097,111.011113257024,105.10886117357437,0.25,9551.5,18.637786865234375,243.9199981689453
2011-10-31,42.85140952848411,121.32274183178725,108.68339693819804,0.25,9584.4,18.019590377807617,285.9200134277344
2011-11-30,42.1151906403083,119.71212446741818,108.62427218107888,0.25,9636.5,18.428937911987305,310.239990234375
2011-12-31,40.90198500073198,116.78134254104482,106.68197444838438,0.25,9683.9,18.771451950073242,304.8800048828125
2012-01-31,42.77382264326765,127.1279244834615,108.19039664571604,0.22,9757.6,18.479061126708984,302.55999755859375
2012-02-29,45.38862540009235,125.95402585106096,108.76113600224414,0.3,9809.8,18.345396041870117,327.3599853515625
2012-03-31,46.63635635715787,123.36175774335734,109.56986718179179,0.33,9853.9,18.303627014160156,313.8399963378906
2012-04-30,44.97432773984714,121.65317740926247,108.79554890481101,0.27,9907.7,18.220083236694336,317.44000244140625
2012-05-31,39.662631711929045,115.31099775245066,107.81919006287396,0.27,9951.4,19.205860137939453,260.8800048828125
2012-06-30,41.84779847802672,115.01250168352836,107.54357804876213,0.33,10021.6,18.771451950073242,254.63999938964844
2012-07-31,41.60822781002797,112.67698016931462,107.91844000962493,0.23,10074.5,18.971946716308594,261.44000244140625
2012-08-31,42.81552881857872,114.95601302872284,107.77820490440702,0.22,10145.6,18.629432678222656,287.1199951171875
2012-09-30,44.12765803139829,114.23432727540342,108.7084379450434,0.23,10226.1,18.311979293823242,272.9599914550781
2012-10-31,44.075365430745,115.5279807470318,109.82187357698955,0.3,10292.4,18.286916732788086,254.24000549316406
2012-11-30,44.3433554294337,115.43400702065325,109.36382928802536,0.25,10361.9,18.311979293823242,260.4800109863281
2012-12-31,46.06432233122672,121.20929949207418,109.49483434190427,0.25,10484.1,18.220083236694336,266.9599914550781
2013-01-31,48.4246234793991,121.33241323086996,110.35365397437985,0.27,10508.1,18.06136131286621,282.239990234375
2013-02-28,47.834370417942075,120.05412536922867,109.32559608114089,0.25,10527.5,18.68791389465332,264.4800109863281
2013-03-31,48.568402085763516,117.12977025665349,109.24712351655101,0.25,10583.8,18.88005256652832,278.0
2013-04-30,49.19614878038682,112.93779103008015,108.4583353071796,0.22,10611.3,18.54589080810547,265.2799987792969
2013-05-31,50.578089978852994,121.24069123688389,107.24021920973357,0.3,10646.1,18.888410568237305,260.8800048828125
2013-06-30,50.54928239398856,119.73061065947658,105.85826824530443,0.36,10703.3,18.846637725830078,273.44000244140625
2013-07-31,53.05152798889867,121.5370776771531,107.19108864910356,0.31,10742.8,18.453998565673828,298.8800048828125
2013-08-31,52.582040327603345,124.162554856196,106.75209125360607,0.39,10801.2,18.537540435791016,307.8399963378906
2013-09-30,54.48871320241412,129.6692000166924,106.65783847066558,0.33,10862.0,18.069713592529297,294.79998779296875
2013-10-31,56.20402622453808,127.66442965654208,106.1985262924669,0.31,10986.3,18.069713592529297,277.5199890136719
2013-11-30,57.58101806675245,130.30752535154562,106.0052774036194,0.28,10995.6,18.128192901611328,267.67999267578125
2013-12-31,60.0274510528219,134.87419454187352,106.69605248430564,0.38,11060.1,17.977821350097656,282.55999755859375
2014-01-31,55.54440005092198,136.15138467065276,105.70076480899361,0.34,11130.8,18.23679542541504,278.3999938964844
2014-02-28,58.22718142082624,136.356750354801,105.78413431580123,0.33,11196.8,17.860862731933594,293.9200134277344
2014-03-31,58.88998444072166,134.70699768807953,105.81468169421858,0.44,11232.6,17.92769432067871,292.7200012207031
2014-04-30,59.1404182438185,132.86788038971685,106.40479307423796,0.42,11277.7,17.777326583862305,290.55999755859375
2014-05-31,59.24520592596674,133.01811691388144,106.58877204983297,0.37,11342.8,17.936052322387695,301.44000244140625
2014-06-30,60.453418322110664,133.98915869557166,107.21523088351586,0.47,11398.1,17.760618209838867,311.0400085449219
2014-07-31,59.712348187821824,132.86910171387035,107.3532398221742,0.53,11453.0,18.161609649658203,290.55999755859375
2014-08-31,60.12020021362557,132.37693969512333,106.01214165668439,0.48,11477.3,18.39552116394043,286.0799865722656
2014-09-30,58.74323636297452,130.09340776621775,104.35605715898038,0.58,11519.1,19.10561180114746,275.2799987792969
