as_of,return_date,ticker,core_component,long_only_component,tsmom_component,raw_weight,target_weight,inner_core_scale,inner_long_only_scale,outer_weight_core,outer_weight_long_only,outer_weight_tsmom,outer_scale,raw_gross_exposure,raw_net_exposure,gross_exposure,net_exposure,long_gross_exposure,short_gross_exposure,cash_weight,unencumbered_cash_weight,borrow_weight,margin_debit_weight,short_collateral_weight,regt_reference_requirement,regt_reference_buffer,portfolio_margin_minimum_cushion,portfolio_margin_status,limit_scale,netted_bil_weight,clipped_assets
2011-01-31,2011-02-28,DBC,0.0419645753704868,0.03462220770568905,0.026412749993179406,0.10299953306935525,0.10299953306935525,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,EEM,0.027130591071196468,0.025401686227275067,0.022367909434738802,0.07490018673321033,0.07490018673321033,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,EFA,0.0,0.0,0.026524050716631213,0.026524050716631213,0.026524050716631213,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,FXF,0.0020538402869632543,0.001656409981812397,0.0479963762089209,0.051706626477696555,0.051706626477696555,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,FXY,0.0021782717368412172,0.0019183046506903558,0.061841811735922375,0.06593838812345394,0.06593838812345394,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,GLD,0.047468073139211725,0.05171686102593682,0.03471224214417243,0.13389717630932096,0.13389717630932096,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,HYG,0.024426144031994643,0.020605265928700885,0.03777897189780777,0.0828103818585033,0.0828103818585033,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,IEF,0.034813504052304475,0.0,0.08553062373497457,0.12034412778727904,0.12034412778727904,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,IWM,0.043244154503749806,0.04449716140085361,0.026833747733339415,0.11457506363794281,0.11457506363794281,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
2011-01-31,2011-02-28,LQD,0.015654981977908766,0.012045160249233765,0.0,0.02770014222714253,0.02770014222714253,1.5,1.5,0.2953611885477694,0.2877886824576691,0.41685012899456153,1.5,1.8338778250761525,1.7237675425327468,1.5141723788244295,1.4040620962810237,1.4591172375527266,0.0550551412717029,-0.40406209628102374,0.0,0.4591172375527266,0.4591172375527266,0.05615624409713696,0.7570861894122147,0.24291381058778527,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3197054462517229,
