as_of,return_date,gross_return,net_return,nav_usd,turnover,traded_notional_usd,commission_usd,commission_cost,regulatory_fees_usd,regulatory_fee_cost,slippage_usd,slippage_cost,positive_cash_interest,short_proceeds_interest,margin_benchmark_cost,margin_spread_cost,short_borrow_cost,futures_roll_cost,total_explicit_cost,cash_weight,unencumbered_cash_weight,margin_debit_weight,short_collateral_weight,long_gross_exposure,gross_exposure,net_exposure,short_gross_exposure,borrow_weight,regt_reference_requirement,regt_reference_buffer,portfolio_margin_minimum_cushion,portfolio_margin_status,limit_scale,netted_bil_weight,clipped_assets
2014-06-30,2014-07-31,-0.030600643049351412,-0.03126463170638252,1598573.205172118,0.10092692587238863,332925.9342834447,36.191156236491764,2.1942791273248517e-05,3.7254734047816664,2.2587641240579186e-06,33.292593428344475,2.018538517447773e-05,0.0,0.0,0.0,0.00045666024982218156,0.00014271696940368692,0.0,0.0006437641597976526,-0.33751388682692185,0.0,0.5,0.16573583543653966,1.5,1.6624861131730782,1.3375138868269218,0.1624861131730781,0.5,0.8312430565865391,0.16875694341346092,0.2,LIVE_IBKR_CHECK_REQUIRED,0.8723494202448825,0.2133907584670764,
2014-07-31,2014-08-31,0.03916899677218489,0.0384889522054006,1661300.014005974,0.22272135256945613,712072.7728744497,88.38765091176991,5.529158791464494e-05,11.176337373651046,6.9914454574181934e-06,71.20727728744495,4.454427051389122e-05,0.0,0.0,0.00010350579725323209,0.00042071235151202327,0.00017942970619965,0.0,0.0007069693615976277,-0.2530069949585403,0.0,0.457291290442013,0.20836998139314195,1.457291290442013,1.6615755859254855,1.2530069949585403,0.2042842954834725,0.457291290442013,0.8307877929627427,0.16921220703725726,0.2,LIVE_IBKR_CHECK_REQUIRED,1.0,0.3217699181737666,
2014-08-31,2014-09-30,-0.037628964280044114,-0.03830942485768829,1598860.2185423705,0.10125853987527203,336441.6274260278,40.41409801013032,2.4326790868241688e-05,3.15747886595784,1.9006072589766954e-06,33.64416274260279,2.0251707975054412e-05,0.0,0.0,0.0,0.0004417474265025701,0.00016688186448375218,0.0,0.000655108397088595,-0.3036683947249976,0.0,0.5000000000000002,0.2002582373805026,1.5000000000000002,1.6963316052750026,1.3036683947249976,0.19633160527500254,0.5000000000000002,0.8481658026375013,0.1518341973624987,0.2,LIVE_IBKR_CHECK_REQUIRED,0.9418616785262699,0.2208637061606999,
2014-09-30,2014-10-31,0.032448637374506734,0.03163385837665938,1650246.829498609,0.357296246335389,1142533.5090003372,166.14385109085072,0.00010391393141441641,14.755620587458607,9.228837153075728e-06,114.25335090003372,7.145924926707778e-05,0.0,0.0,0.0,0.00045748446094467563,0.00019922182418814194,0.0,0.0008413083029673875,-0.2731819838465175,0.0,0.4999999999999998,0.23135437647655194,1.4999999999999998,1.726818016153482,1.2731819838465175,0.2268180161534823,0.4999999999999998,0.863409008076741,0.13659099192325896,0.2,LIVE_IBKR_CHECK_REQUIRED,0.9863553796975749,0.38169530690174186,
2014-10-31,2014-11-30,0.029964284380640662,0.02932028230366462,1699348.8574563337,0.09218482522594434,304255.4311139961,42.65506945194561,2.584769059359769e-05,3.301774055164096,2.000775881609945e-06,30.425543111399612,1.843696504518887e-05,0.0,0.0,0.0,0.0004419154148671561,0.0001751766815351325,0.0,0.0006633775279226851,-0.29390978642925525,0.0,0.4999999999999998,0.21021201784215907,1.4999999999999998,1.7060902135707439,1.2939097864292552,0.20609021357074417,0.4999999999999998,0.8530451067853719,0.14695489321462807,0.2,LIVE_IBKR_CHECK_REQUIRED,0.8950582120581757,0.3006521843922665,
2014-11-30,2014-12-31,0.014272127372835706,0.013513772101795262,1722469.3412538245,0.18846973833182853,640551.668998574,81.93960958655134,4.8218239137314305e-05,11.34021929663393,6.673273263977421e-06,64.0551668998574,3.76939476663657e-05,0.0,0.0,0.0,0.00041070420783469375,0.00026567493994652245,0.0,0.0007689646078488736,-0.14504757507433208,0.0,0.44752378753716604,0.3085257367120906,1.447523787537166,1.7500000000000002,1.145047575074332,0.3024762124628339,0.44752378753716604,0.8750000000000001,0.12499999999999989,0.2,LIVE_IBKR_CHECK_REQUIRED,0.9557602014593842,0.3539468526983879,IEF
2014-12-31,2015-01-31,0.007292353369801389,0.006586842203312051,1733852.4231307947,0.06513520585455526,224386.79024145612,33.93186410876582,1.969954605059388e-05,2.848087886178208,1.6534911931175625e-06,22.438679024145614,1.3027041170911053e-05,0.0,0.0,0.0,0.00041011238283249093,0.00026593171107981787,0.0,0.0007104241723269312,-0.14446289697195147,0.0,0.44723144848597585,0.30882392254430463,1.4472314484859758,1.75,1.1444628969719515,0.30276855151402415,0.44723144848597585,0.875,0.125,0.2,LIVE_IBKR_CHECK_REQUIRED,0.9609827966988619,0.36072062828028983,IEF
2015-01-31,2015-02-28,0.02410755594766028,0.0234545638715033,1774999.8365453968,0.18585685552100203,644496.7186011188,73.77413179892153,4.25492566810897e-05,5.246259468926719,3.0257820094363145e-06,64.44967186011188,3.717137110420041e-05,0.0,0.0,0.0,0.0004113180693485892,0.00017464257119644027,0.0,0.000668707050339756,-0.2798623052145708,0.0,0.5000000000000002,0.2245404486811375,1.5000000000000002,1.7201376947854286,1.2798623052145708,0.22013769478542894,0.5000000000000002,0.8600688473927143,0.13993115260728572,0.2,LIVE_IBKR_CHECK_REQUIRED,0.897125633177505,0.31803307162797967,IEF
2015-02-28,2015-03-31,0.000965441238471887,0.00023993234602112583,1775425.7675156312,0.12281300499500952,435986.12758358184,47.63628183090254,2.6837344347938033e-05,5.351041428046961,3.014671504681068e-06,43.59861275835817,2.45626009990019e-05,0.0,0.0,0.0,0.0004548122088064948,0.00021671946913135915,0.0,0.0007259462947894749,-0.2532605664538605,0.0,0.5,0.25167422221706226,1.5,1.7467394335461393,1.2532605664538605,0.24673943354613947,0.5,0.8733697167730696,0.12663028322693037,0.2,LIVE_IBKR_CHECK_REQUIRED,0.9283873684315764,0.29510588986725106,IEF
2015-03-31,2015-04-30,-0.01120856488157767,-0.011888125579880787,1754444.2456221853,0.028019862688249214,99494.37243793492,28.56234251986104,1.608760165727941e-05,1.2756715776167378,7.185158630438242e-07,9.949437243793492,5.603972537649843e-06,0.0,0.0,0.0,0.00044013521569249867,0.00020921274455641244,0.0,0.0006717580503068841,-0.25386735934539684,0.0,0.49999999999999956,0.25105529346769495,1.4999999999999996,1.7461326406546025,1.2538673593453968,0.24613264065460289,0.49999999999999956,0.8730663203273012,0.12693367967269875,0.2,LIVE_IBKR_CHECK_REQUIRED,0.9381751340576874,0.31491187849464825,IEF
